Motif_Identifier	GO_Term_Identifier	GOMo_Score	p-value	q-value
crp	GO:0044248	1.341e-06	5.615e-07	4.550e-04
crp	GO:0009056	8.869e-07	5.615e-07	4.550e-04
crp	GO:0008643	1.075e-04	1.516e-05	8.190e-03
crp	GO:0051119	2.285e-04	3.481e-05	1.092e-02
crp	GO:0044275	2.652e-04	4.043e-05	1.092e-02
crp	GO:0015144	2.665e-04	4.043e-05	1.092e-02
crp	GO:0016861	3.954e-04	5.334e-05	1.217e-02
crp	GO:0016860	4.737e-04	6.008e-05	1.217e-02
crp	GO:0016052	5.421e-04	7.580e-05	1.356e-02
crp	GO:0009057	5.850e-04	8.366e-05	1.356e-02
crp	GO:0016853	7.322e-04	1.106e-04	1.630e-02
crp	GO:0044265	8.893e-04	1.364e-04	1.843e-02
crp	GO:0019321	1.272e-03	2.077e-04	2.590e-02
nagC	GO:0051704	1.801e-04	1.404e-05	2.167e-02
nagC	GO:0042710	4.020e-04	2.864e-05	2.167e-02
nagC	GO:0009252	8.308e-04	9.714e-05	2.167e-02
nagC	GO:0007047	8.308e-04	9.714e-05	2.167e-02
nagC	GO:0031504	8.308e-04	9.714e-05	2.167e-02
nagC	GO:0009273	8.308e-04	9.714e-05	2.167e-02
nagC	GO:0042546	8.308e-04	9.714e-05	2.167e-02
nagC	GO:0016798	1.101e-03	1.398e-04	2.426e-02
nagC	GO:0004553	1.101e-03	1.398e-04	2.426e-02
narP	GO:0009061	3.737e-04	4.155e-05	3.869e-02
narP	GO:0045333	5.182e-04	7.524e-05	3.869e-02
narP	GO:0030151	6.633e-04	9.377e-05	3.869e-02
narP	GO:0015980	9.717e-04	1.364e-04	3.869e-02
narP	GO:0006091	9.717e-04	1.364e-04	3.869e-02
narP	GO:0017004	1.063e-03	1.550e-04	3.869e-02
narP	GO:0043623	1.063e-03	1.550e-04	3.869e-02
narP	GO:0042592	1.382e-03	2.392e-04	4.180e-02
narP	GO:0048878	1.382e-03	2.392e-04	4.180e-02
narP	GO:0019725	1.382e-03	2.392e-04	4.180e-02
narP	GO:0009055	1.539e-03	2.656e-04	4.219e-02
narP	GO:0065007	1.695e-03	2.948e-04	4.293e-02
narP	GO:0065008	1.839e-03	3.302e-04	4.438e-02
narP	GO:0043169	2.049e-03	3.723e-04	4.646e-02

# GOMo (Gene Ontology for Motifs): Version 5.3.2 compiled on Feb  5 2021 at 18:21:07
# The format of this file is described at https://meme-suite.org/meme/doc/gomo-output-format.html.
# gomo --oc gomo_example_output_files --dag go.dag --motifs dpinteract_subset.meme bacteria_escherichia_coli_k12_1000_199.na.csv ama.xml
